Name,Age,City_Tier,Job_Type,Monthly_Income,EMI_Amount,Active_Loans,Credit_Utilization(%),UPI_Transactions,Bill_Payment_History(%),Bank_Balance_Variance,Is_MSME,GST_Revenue,Invoice_Defaults,Credit_Score
Sara Taneja,46,2,Student,17642,8468,1,68,50,88,40,0,0,0,678
Geetika Bhat,22,2,Self-Employed,22577,903,1,28,42,75,23,0,0,0,740
Oviya Morar,40,1,Salaried,10000,500,1,35,57,83,46,0,0,0,777
Jacob Lall,48,2,Salaried,11972,119,3,23,45,99,34,0,0,0,823
Warhi Nadkarni,27,1,Self-Employed,15091,3169,4,58,55,73,15,0,0,0,651
Amrita Sahni,28,2,Student,58742,2937,2,75,53,70,23,0,0,0,681
Ekansh Gokhale,55,2,Student,18889,8500,1,99,45,92,30,1,56683,0,676
Anamika Dua,34,3,Self-Employed,18628,9314,0,37,46,73,49,0,0,0,665
Nidra Krish,37,2,Salaried,11018,5178,1,91,48,71,44,1,99391,0,608
Aryan Bhat,56,2,Salaried,15948,1435,0,41,38,98,25,0,0,0,830
Aryan Sharaf,24,2,Salaried,15986,4795,0,81,53,99,28,0,0,0,697
Netra Choudhry,22,1,Salaried,38029,20155,1,47,57,70,41,1,214160,0,663
Nimrat Gala,26,1,Salaried,10000,1900,2,69,46,76,41,1,204589,1,718
Aarna Rao,24,3,Self-Employed,10000,1900,2,65,46,84,31,0,0,0,685
Manya Dash,49,1,Self-Employed,24087,3613,1,38,50,97,37,0,0,0,797
Yoshita Madan,38,2,Salaried,31979,1279,2,10,55,95,6,1,321601,0,865
Bakhshi Borde,46,1,Salaried,13482,8358,1,19,54,75,38,0,0,0,673
Kamala Kothari,54,3,Student,38933,23749,1,41,44,83,25,0,0,0,683
Eiravati Vohra,30,3,Salaried,20386,13454,3,51,49,72,36,0,0,0,581
Jyoti Kala,56,1,Self-Employed,12355,8277,2,14,37,87,49,0,0,0,699
Gaurav Gole,34,2,Salaried,11485,229,1,59,45,91,27,0,0,0,765
Dayamai Mani,51,2,Salaried,24800,15128,0,52,50,88,29,1,377018,1,737
Aditya Issac,35,3,Salaried,28439,284,0,87,47,76,15,0,0,0,721
Yashica Radhakrishnan,28,1,Salaried,10000,5100,1,70,52,81,42,1,150556,0,626
Yasti Varma,34,2,Self-Employed,15998,6559,1,85,45,94,20,1,187490,1,667
Raghav Khalsa,43,2,Salaried,10000,1200,2,66,43,87,40,0,0,0,735
Ekalinga Kunda,41,1,Salaried,21616,216,0,42,52,74,44,0,0,0,772
Nikita Bandi,36,1,Self-Employed,20104,10454,0,57,55,85,39,0,0,0,669
Yatin Pai,38,1,Salaried,18072,9036,2,58,56,80,9,0,0,0,645
Zayan Bail,44,3,Student,67807,6780,1,66,58,70,11,0,0,0,717
Nidra Kamdar,46,1,Salaried,45798,22441,2,11,37,87,33,0,0,0,721
Zayan Korpal,45,2,Salaried,26265,16546,0,43,45,88,20,0,0,0,682
Pratyush Sule,49,1,Salaried,13423,3758,0,28,47,84,40,0,0,0,765
Dalaja Aggarwal,35,1,Self-Employed,14094,7328,0,60,48,99,44,0,0,0,692
Chaman Reddy,21,2,Salaried,40493,17816,1,96,38,90,17,0,0,0,621
Deepa Anand,45,3,Salaried,11251,1237,0,41,49,99,10,0,0,0,810
Pratyush Mahal,27,2,Salaried,24798,8431,1,25,47,98,38,1,190945,0,738
Chasmum Venkataraman,29,3,Student,58305,18657,1,23,42,71,36,0,0,0,693
Aryan Rao,44,2,Self-Employed,10000,400,1,52,59,70,28,0,0,0,743
Mitesh Menon,21,2,Self-Employed,39634,23384,1,43,50,95,31,0,0,0,654
Christopher Manne,28,2,Salaried,30031,7207,0,49,43,79,19,1,130949,1,707
Ekani Bhatnagar,44,3,Self-Employed,25953,8304,0,60,47,78,20,0,0,0,705
Ridhi Nanda,31,2,Self-Employed,24952,7485,2,70,38,91,23,0,0,0,683
Yochana Tara,37,2,Salaried,25455,3054,1,51,46,90,32,0,0,0,756
Rishi Arya,28,2,Salaried,27704,14960,1,57,42,90,14,0,0,0,651
Nisha Sule,55,1,Salaried,16328,6857,3,98,41,97,15,0,0,0,673
Maya Sani,55,1,Salaried,27420,6580,0,34,54,90,23,0,0,0,789
Owen Raja,53,1,Salaried,17219,344,1,40,58,73,26,0,0,0,780
Anmol Gara,25,2,Salaried,14522,290,1,92,54,87,10,0,0,0,709
Dev Ramanathan,59,1,Salaried,17969,3054,2,47,54,78,37,0,0,0,753
Daksha Bora,48,1,Self-Employed,19262,2118,2,22,46,80,24,0,0,0,776
Netra Mohan,27,3,Student,52576,25236,0,21,51,94,8,0,0,0,716
Panini De,29,2,Salaried,38511,11938,0,81,52,94,17,0,0,0,693
Yagnesh Nadkarni,28,1,Self-Employed,23828,5957,0,54,60,98,43,1,218943,1,788
Aarnav Barman,32,3,Self-Employed,10983,1757,1,22,48,91,35,0,0,0,771
Yug Muni,54,1,Salaried,14457,8818,2,13,54,79,6,1,487804,1,743
Niharika Tella,53,2,Student,50420,5042,0,93,56,98,24,0,0,0,771
Balveer Handa,43,2,Salaried,11616,4297,3,55,55,80,35,1,336229,1,722
Vincent Lad,44,1,Student,30899,13904,0,37,61,81,8,0,0,0,708
Yochana Rege,57,1,Self-Employed,16057,5619,1,86,48,99,45,1,116413,1,727
Nirja Mangal,55,1,Salaried,29800,19668,1,80,49,86,28,0,0,0,641
Hemani Shetty,42,1,Salaried,23861,14077,0,55,56,93,23,1,174123,0,683
Hredhaan Narang,47,1,Salaried,24092,12768,1,55,67,90,46,0,0,0,687
Urmi Butala,55,3,Salaried,12788,5754,2,16,44,98,46,1,164268,0,761
Fitan Sehgal,21,2,Self-Employed,26508,3446,0,97,56,78,29,1,233547,1,718
Lekha Bhatnagar,55,3,Self-Employed,21584,10144,1,44,42,79,8,0,0,0,701
Anvi Buch,57,2,Salaried,19976,7990,2,89,53,99,6,1,494293,1,754
Fitan Ratti,34,2,Student,14748,9586,0,80,49,75,8,0,0,0,596
Damyanti Hora,23,1,Salaried,17651,4059,1,39,48,74,14,0,0,0,691
Jack Randhawa,21,1,Salaried,13204,2376,3,77,56,74,14,1,357557,0,690
Manan Agarwal,25,2,Salaried,18611,11352,0,96,56,77,25,0,0,0,577
Bhavya Gaba,46,3,Salaried,27653,6636,1,89,62,86,33,0,0,0,701
Upkaar Goda,34,1,Self-Employed,10666,5652,1,30,38,79,48,0,0,0,668
Nisha Kannan,59,2,Student,21712,6079,0,53,55,77,29,1,425046,0,793
Lakshit Peri,47,1,Salaried,16366,3436,2,53,39,92,23,1,142351,2,747
Hitesh Tara,29,2,Salaried,41457,13266,3,43,74,75,8,0,0,0,661
Sanya Manne,35,2,Salaried,18174,7633,0,58,35,83,23,0,0,0,682
Pallavi Rajan,35,2,Self-Employed,21119,1055,2,98,55,95,26,0,0,0,720
Vamakshi Halder,46,1,Student,26615,6653,0,92,60,84,31,0,0,0,702
Banjeet Mukherjee,33,1,Salaried,51653,14462,0,38,61,72,34,1,395117,2,755
Hredhaan Mannan,52,2,Self-Employed,26602,11172,0,88,50,73,30,0,0,0,660
Fariq Sheth,59,3,Salaried,72857,46628,3,45,44,78,7,0,0,0,651
Krishna Master,52,1,Salaried,39195,23517,0,34,56,80,38,0,0,0,692
Saksham Bir,24,2,Salaried,20829,9164,1,73,47,91,29,0,0,0,651
Benjamin Varma,50,2,Salaried,10000,3300,0,92,55,71,7,1,470354,0,717
Abhiram Panchal,57,1,Self-Employed,15176,910,0,28,55,78,36,0,0,0,811
Lopa Lalla,43,3,Self-Employed,30426,11866,1,82,54,71,7,0,0,0,643
Zayan Kota,59,1,Salaried,11710,2107,0,51,50,98,9,0,0,0,807
Anjali Tara,35,2,Self-Employed,10000,2900,0,36,36,80,8,0,0,0,724
Rachit Dara,49,2,Salaried,25080,13292,0,79,50,89,14,0,0,0,674
Faris Lad,56,2,Self-Employed,10000,200,0,26,55,93,8,0,0,0,849
Xalak Shukla,33,1,Salaried,22979,14706,1,92,63,98,46,0,0,0,621
Sai Kata,52,3,Salaried,19949,11171,1,97,53,83,5,0,0,0,633
Rohan Swamy,27,1,Salaried,10398,2079,2,50,57,80,11,0,0,0,695
Aarnav Sood,42,2,Salaried,56724,21555,2,25,51,79,46,0,0,0,707
Charan Kapoor,48,3,Salaried,15712,1099,0,83,52,92,16,0,0,0,767
Nimrat Singhal,22,2,Salaried,35923,2155,1,46,49,76,45,0,0,0,720
Nakul Jha,26,1,Salaried,42016,1260,2,98,48,70,37,0,0,0,659
Gautam Master,48,3,Salaried,15065,9490,2,84,50,71,49,0,0,0,592
Avi Kuruvilla,48,1,Self-Employed,62263,2490,0,92,46,76,32,0,0,0,732
Mugdha Bhatti,40,3,Student,14345,4877,0,39,38,87,38,0,0,0,733
Jyoti Panchal,50,1,Self-Employed,20830,416,2,40,50,88,12,0,0,0,795
Faraj Chaudhary,31,1,Salaried,25533,6893,0,12,52,86,37,0,0,0,757
Manan Uppal,48,1,Salaried,10873,3153,0,73,42,84,32,1,491309,0,767
Banjeet Madan,45,1,Self-Employed,20154,3224,1,20,48,93,11,0,0,0,799
Anika Sahni,59,1,Self-Employed,30428,11258,2,19,65,76,34,0,0,0,737
Veda Choudhary,53,1,Salaried,26101,16182,1,21,59,82,16,0,0,0,697
Umang Nazareth,21,3,Salaried,42565,20431,1,51,50,92,12,0,0,0,662
Ira Muni,47,3,Salaried,12164,4379,0,44,66,71,27,0,0,0,704
Januja Narayan,33,1,Self-Employed,19499,4094,1,16,51,87,12,1,150389,0,761
Samuel Parsa,23,1,Salaried,16976,2716,1,51,51,91,42,0,0,0,727
Omkaar Baral,59,2,Salaried,13975,8804,0,73,50,70,12,0,0,0,639
Amara Sachdev,26,1,Salaried,18944,4736,2,77,52,81,16,0,0,0,658
Omya Ahluwalia,28,3,Self-Employed,24577,14991,2,44,44,84,38,0,0,0,628
Varenya Mangal,47,2,Salaried,15470,3558,4,42,48,91,12,0,0,0,732
Farhan Sani,29,2,Salaried,15306,3520,3,32,39,84,33,0,0,0,708
Samesh Saxena,57,2,Salaried,25962,16356,2,85,42,83,36,0,0,0,630
Radha Sanghvi,53,2,Student,40542,19865,2,25,48,86,14,0,0,0,717
Hitesh Dada,44,1,Salaried,38298,11489,0,94,54,88,40,0,0,0,695
Avi Ramaswamy,35,1,Self-Employed,27968,13704,3,37,51,95,35,1,450168,0,733
Januja Munshi,52,1,Salaried,12407,744,2,51,52,99,13,1,294115,0,851
Jalsa Krish,52,2,Student,13491,1618,1,54,41,78,21,1,155557,0,754
Vrinda Sule,44,2,Salaried,16197,8584,0,93,50,81,24,0,0,0,636
Ekantika Dyal,32,3,Salaried,17217,10330,0,41,54,73,10,0,0,0,638
Falguni Varkey,59,1,Salaried,24941,2494,2,26,43,91,41,0,0,0,814
Isha Basak,22,2,Salaried,15988,5595,1,19,59,74,32,0,0,0,685
Kai Badal,23,1,Salaried,27026,10540,1,41,48,83,19,0,0,0,675
Benjamin Loyal,57,2,Salaried,13174,658,0,18,56,91,49,0,0,0,849
Advika Mahajan,37,3,Student,38730,7358,2,41,55,95,36,0,0,0,752
Laban Warrior,22,3,Salaried,20640,6398,1,52,55,89,24,0,0,0,690
Aashi Menon,22,3,Self-Employed,28306,18398,1,38,45,84,33,0,0,0,626
Advaith Palan,48,3,Self-Employed,22689,9529,2,29,46,76,40,1,126765,0,699
Charvi Cherian,43,3,Salaried,11879,1781,2,24,51,88,27,0,0,0,773
Faras Thaker,57,1,Salaried,31363,15054,1,84,48,98,15,1,270033,1,751
Gauri Bhatt,52,1,Student,14503,3915,3,34,52,75,38,1,109408,0,718
Teerth Randhawa,53,2,Salaried,17257,7765,1,61,43,91,48,1,367186,0,759
Fiyaz Agrawal,21,3,Salaried,10000,100,0,76,44,97,7,0,0,0,751
Aadi Bala,39,2,Self-Employed,14890,4467,2,56,55,81,42,1,379840,0,741
Avi Sem,22,1,Salaried,15017,7508,0,75,58,99,23,1,147386,1,659
Jatin Bakshi,46,3,Student,16003,8641,0,67,45,81,32,0,0,0,663
Aishani Nagarajan,52,1,Salaried,25651,16929,1,70,45,84,23,1,213675,0,692
Rishi Ramesh,26,2,Student,25618,8453,1,48,63,96,14,0,0,0,711
Nakul Kapur,52,3,Salaried,68134,44287,1,35,71,86,29,1,181570,0,683
Ekansh Shanker,24,3,Salaried,34414,19615,1,54,61,90,42,0,0,0,642
Sathvik Kota,31,3,Self-Employed,55725,17832,1,52,40,86,42,1,154228,0,697
Viraj Dasgupta,37,3,Student,12221,5499,1,66,41,93,33,0,0,0,681
Aradhana Venkataraman,58,2,Salaried,21457,13947,0,25,50,75,21,0,0,0,691
Siya Uppal,44,2,Self-Employed,46271,11567,4,29,47,75,9,0,0,0,704
Peter Naik,25,2,Self-Employed,24849,16151,1,64,46,80,46,0,0,0,597
Veda Chowdhury,54,3,Salaried,24088,12766,0,38,47,76,36,0,0,0,698
Pahal Bumb,26,1,Salaried,30108,2408,1,99,44,81,20,1,50822,0,680
Agastya Venkatesh,42,1,Salaried,10853,6186,2,94,41,87,7,0,0,0,616
Rachita Sinha,31,1,Self-Employed,43698,9176,1,71,49,81,21,0,0,0,690
Pahal Sachar,36,2,Salaried,13485,404,0,41,60,90,13,0,0,0,793
Devika Venkataraman,53,1,Salaried,15972,5749,2,21,58,84,30,0,0,0,743
Adweta Batta,29,3,Salaried,14292,9575,4,31,58,93,8,0,0,0,629
Pallavi Lall,26,1,Self-Employed,22998,13338,0,52,49,81,29,0,0,0,637
Ayushman Sehgal,36,1,Student,26619,10647,0,37,44,79,35,1,491408,1,751
Jacob Sengupta,49,1,Self-Employed,17585,11606,1,97,39,72,18,0,0,0,586
Oscar Raju,23,2,Salaried,11691,2572,0,48,51,82,29,0,0,0,710
Mugdha Choudhury,40,1,Self-Employed,11794,4009,2,18,44,71,23,1,232544,1,752
Pahal Joshi,56,1,Self-Employed,15812,9329,1,79,55,73,28,0,0,0,632
Raghav Sandal,39,3,Self-Employed,32253,2902,1,73,46,98,13,0,0,0,760
Gavin Bhalla,46,3,Self-Employed,10000,2000,0,85,51,85,39,1,118262,0,721
Kabir Patel,23,3,Self-Employed,49057,21094,2,28,63,86,27,0,0,0,676
Samar Raghavan,39,2,Salaried,15267,5190,0,92,52,80,5,0,0,0,665
Advaith Konda,40,3,Salaried,27235,10349,0,61,43,79,10,0,0,0,687
Bina Mohanty,52,3,Student,25106,9791,1,24,43,80,22,0,0,0,734
Indira Krishna,27,3,Salaried,16601,2822,0,72,40,91,46,0,0,0,721
Ishaan Bhavsar,53,1,Salaried,28887,15021,3,94,42,71,30,0,0,0,602
Balendra Tandon,59,1,Salaried,10000,6600,2,75,46,76,18,0,0,0,623
Nandini Zacharia,38,1,Self-Employed,22392,9628,2,24,49,70,18,1,169216,0,673
Chandran Choudhury,21,3,Salaried,10000,2300,3,85,55,97,33,0,0,0,668
Imaran Ahuja,31,2,Self-Employed,23494,14801,2,62,53,76,14,0,0,0,595
Gagan Deo,48,2,Salaried,32998,17158,1,64,42,86,11,0,0,0,674
Nachiket Buch,45,2,Salaried,14335,4300,0,90,55,99,26,0,0,0,723
Odika Shetty,43,3,Salaried,91885,13782,0,29,51,78,21,0,0,0,768
Daniel Sachar,51,3,Salaried,35073,22446,0,87,41,70,13,1,283670,0,660
Hardik Narang,50,2,Salaried,33343,22339,0,75,33,83,47,0,0,0,640
Azad Sehgal,55,3,Self-Employed,20415,5307,1,20,43,83,47,0,0,0,775
Harshil Gola,27,1,Salaried,17704,8497,3,34,39,80,7,0,0,0,645
Yuvraj Nadkarni,36,2,Self-Employed,40890,15538,3,91,37,89,29,0,0,0,641
Yutika Kibe,46,3,Student,64569,36158,1,94,45,92,11,0,0,0,644
Garima Mukhopadhyay,22,3,Self-Employed,14126,9605,0,21,69,99,29,0,0,0,677
Odika Pradhan,21,2,Self-Employed,17390,1912,3,59,46,98,30,0,0,0,720
Sneha Dyal,32,1,Student,27327,7105,0,81,47,76,43,0,0,0,672
Aadi Lal,25,1,Self-Employed,44952,25622,0,30,42,72,16,0,0,0,641
Ekalinga Ramesh,57,1,Self-Employed,13391,4419,1,47,42,84,15,0,0,0,740
Forum Baral,52,2,Self-Employed,12046,3011,0,59,49,85,12,0,0,0,747
Zaid Andra,29,2,Student,10636,744,2,95,51,81,34,0,0,0,681
Vansha Kakar,55,3,Self-Employed,33956,14940,1,65,44,74,28,0,0,0,676
Yachana Chauhan,39,2,Salaried,33789,15880,2,83,40,83,29,0,0,0,634
Ekani Kumer,36,1,Salaried,10330,2685,0,21,60,90,46,0,0,0,767
Gunbir Goswami,23,1,Salaried,52186,1565,2,97,53,95,35,0,0,0,705
Omkaar Garg,40,3,Self-Employed,10260,307,0,87,57,81,17,0,0,0,735
Meghana Ranganathan,44,2,Self-Employed,14585,1312,0,83,58,78,26,0,0,0,728
Eshana Dixit,53,2,Salaried,10529,2421,0,41,41,70,18,0,0,0,741
George Gera,44,2,Self-Employed,31750,2857,1,87,35,78,30,0,0,0,714
Bakhshi Bahri,31,1,Student,44631,12050,0,90,65,92,20,0,0,0,691
Jatin Mallick,28,1,Self-Employed,35920,18319,2,89,37,99,28,0,0,0,633
Aradhana Prakash,56,1,Salaried,20984,4826,0,37,52,96,7,1,359537,0,852
Jagrati Apte,58,1,Self-Employed,22782,2733,0,30,38,73,14,1,144938,2,788
Ansh Jain,40,2,Student,21128,8451,2,27,44,73,9,1,307356,1,735
Shivansh Buch,55,2,Salaried,23731,9729,0,36,56,91,34,0,0,0,755
Jagdish Doctor,45,3,Salaried,28614,18026,0,91,47,98,16,0,0,0,654
Hiral Bahri,55,3,Salaried,19529,8202,1,61,43,73,5,0,0,0,682
Ishita Memon,45,2,Self-Employed,15850,8400,1,77,59,76,41,0,0,0,634
Yasti Mane,49,2,Self-Employed,31773,4130,2,85,58,89,17,0,0,0,728
Shivani Mahajan,38,2,Salaried,10000,4600,1,75,40,88,22,0,0,0,662
Yashawini Sami,38,1,Salaried,32385,11010,2,19,49,95,45,1,342203,0,796
Faris Pillay,22,3,Salaried,53682,28988,1,87,40,93,5,0,0,0,617
Aashi Patla,55,2,Salaried,17139,6341,1,35,50,90,48,1,214935,0,802
Matthew Nayar,36,3,Self-Employed,20047,8620,1,69,49,91,48,0,0,0,677
Advaith Krishna,56,3,Salaried,20837,3333,0,88,51,96,18,0,0,0,765
Damini Ramachandran,53,2,Salaried,21850,2622,0,96,53,72,19,0,0,0,712
Wahab Raval,24,1,Self-Employed,23252,15578,1,63,42,83,10,0,0,0,599
Zilmil Kapoor,53,2,Self-Employed,21323,11087,0,49,58,78,5,0,0,0,691
Vaishnavi Devi,34,2,Student,16871,9953,1,48,50,88,16,0,0,0,656
Adweta Sarkar,41,3,Salaried,26208,11531,1,74,62,88,18,0,0,0,672
Charita Hora,40,1,Salaried,33671,1010,1,44,54,87,25,0,0,0,780
Jacob Kant,28,2,Self-Employed,17576,5624,1,87,54,95,12,0,0,0,675
Ria Patil,27,3,Salaried,13455,9149,1,42,56,95,24,0,0,0,647
Jyoti Hora,23,3,Salaried,39699,14688,1,24,52,80,28,0,0,0,690
Vyanjana Narayanan,37,1,Salaried,23231,232,2,78,45,90,31,0,0,0,741
Joshua Narain,53,3,Salaried,10000,800,1,92,42,92,28,0,0,0,754
Gautam Narayan,32,1,Salaried,36355,23994,1,95,51,93,42,0,0,0,602
Rohan Nori,42,3,Salaried,12891,8379,2,36,60,70,15,0,0,0,624
Anmol Chokshi,42,1,Self-Employed,18404,5337,1,88,50,88,38,0,0,0,690
Jai Oak,50,3,Self-Employed,19400,2328,0,16,52,72,28,0,0,0,787
Rachit Ramachandran,58,2,Salaried,16455,5430,1,44,47,82,7,0,0,0,740
Chanakya Dani,58,1,Salaried,32136,19924,1,46,61,86,7,0,0,0,688
Janya Golla,28,1,Salaried,46686,31279,1,26,46,94,14,1,316255,0,714
Daniel Bhatnagar,47,1,Salaried,35180,13016,0,30,49,85,10,0,0,0,744
Krish Sagar,47,2,Self-Employed,29298,4687,0,81,47,99,8,1,473314,1,813
Samesh Oza,54,3,Self-Employed,18060,10113,1,61,55,87,15,0,0,0,681
Megha Ramanathan,41,3,Salaried,70658,4239,0,42,42,84,23,0,0,0,782
Frederick Sodhi,50,3,Salaried,27677,18820,2,68,55,96,20,0,0,0,651
Ekaraj Bose,53,3,Salaried,39116,22687,0,91,45,86,11,0,0,0,653
Bimala Talwar,48,3,Student,16403,164,0,48,45,96,21,0,0,0,822
Bahadurjit Chauhan,53,3,Self-Employed,53121,9561,0,38,49,84,43,0,0,0,782
Adya Prabhu,25,1,Salaried,10000,1000,0,52,54,87,11,0,0,0,743
Jalsa Dhillon,39,3,Student,10000,3200,0,97,53,77,24,0,0,0,658
Mahika Babu,24,1,Salaried,33139,10604,1,74,44,73,34,0,0,0,638
Xalak Khare,55,3,Salaried,10499,5564,1,11,55,78,39,1,162472,1,720
Upkaar Nadig,37,1,Salaried,16338,3757,2,56,45,99,6,0,0,0,737
Pratyush Lal,48,1,Self-Employed,21172,5928,3,99,54,74,6,0,0,0,643
Rachit Chand,50,1,Student,22363,2907,2,56,48,74,16,1,281774,0,779
Aashi Chana,49,2,Salaried,57401,7462,2,99,44,71,26,0,0,0,678
Suhani Misra,26,1,Student,22558,11730,1,60,48,95,30,0,0,0,659
Bina Narasimhan,55,3,Salaried,11000,3960,1,18,60,86,10,0,0,0,763
Wishi Sen,57,1,Self-Employed,23944,9338,0,54,40,74,26,1,306100,0,761
Vasatika Wadhwa,44,1,Student,16100,1127,1,58,45,84,48,0,0,0,759
Keya Chahal,49,1,Salaried,19113,10703,1,89,51,81,35,1,149421,0,632
Jack Rout,51,1,Salaried,24478,7588,3,24,54,85,34,0,0,0,739
Vrishti Dhar,55,2,Self-Employed,33171,19570,0,25,59,95,8,0,0,0,738
Yochana Sankar,53,1,Salaried,28679,11471,2,99,50,94,15,0,0,0,677
Rachana Shankar,41,1,Salaried,23597,10618,0,99,48,90,16,1,213916,0,709
Chandani Prashad,52,1,Self-Employed,37925,11377,4,36,49,75,13,0,0,0,700
Farhan Gole,43,1,Salaried,26758,12843,2,74,42,94,5,0,0,0,669
Tara Deshmukh,53,3,Student,28789,8636,1,98,46,86,16,0,0,0,692
Advay Shetty,23,2,Salaried,10000,3600,1,77,52,99,26,0,0,0,677
Upasna Srivastava,38,1,Student,49827,15446,3,27,55,83,48,0,0,0,710
Yatin Buch,45,1,Self-Employed,14841,6678,1,59,52,80,45,0,0,0,676
Parth Thakur,51,2,Salaried,15220,8523,0,24,50,90,48,0,0,0,729
Vidhi Choudhary,23,1,Salaried,27270,17725,0,91,57,88,33,0,0,0,593
Janya Dash,44,2,Self-Employed,14528,7990,0,27,57,81,35,1,205373,0,748
Mohammed Cherian,52,3,Salaried,14690,9548,3,59,50,70,5,0,0,0,607
Logan Wable,42,1,Salaried,52878,30669,0,55,57,77,12,0,0,0,653
Zayyan Parmer,43,1,Self-Employed,48881,8798,1,37,52,89,33,0,0,0,766
Vedant Gulati,22,1,Self-Employed,19998,8799,0,36,40,94,26,0,0,0,700
Qabil Gole,47,2,Self-Employed,17653,2647,0,29,54,76,45,0,0,0,771
Darpan Badal,22,1,Salaried,16584,7628,1,97,61,78,22,0,0,0,593
Dhriti Gaba,46,2,Salaried,10000,5000,1,15,47,72,29,1,50022,0,695
Bhavika Madan,37,3,Student,36153,2530,3,50,57,77,18,0,0,0,721
Zehaan Bains,53,1,Salaried,24869,15916,1,63,47,78,43,0,0,0,643
Akshay Mukhopadhyay,29,1,Self-Employed,16393,8360,0,21,51,92,19,0,0,0,709
Nilima Maharaj,59,3,Salaried,71107,47641,0,12,49,79,20,1,271517,0,760
Harita Loyal,49,1,Salaried,10000,4800,2,10,45,80,17,0,0,0,715
Gaurav Luthra,46,1,Salaried,47992,27355,1,12,47,73,9,0,0,0,686
Chavvi Deep,55,2,Salaried,12681,7228,1,77,54,99,13,1,237536,2,738
Imaran Sandhu,45,1,Salaried,55870,1676,1,82,56,80,8,0,0,0,737
Timothy Chawla,44,3,Student,45819,9621,1,33,59,82,5,0,0,0,752
Ekalinga Prasad,33,1,Salaried,12110,5207,0,94,64,76,17,0,0,0,627
